dataset_name,n_instances,n_features,ratio_instances_to_features,n_numeric_features,n_categorical_features,ratio_numeric_features,ratio_categorical_features,n_missing_values,missing_value_ratio,n_classes,class_imbalance_ratio,majority_class_percentage,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std,mean_correlation_abs,class_entropy,normalized_class_entropy,landmarker_decision_stump,landmarker_naive_bayes,openml_id
openml_61_iris,150,4,37.499999906250004,4,0,0.9999999975,0.0,0,0.0,3,0.9999999998,0.3333333333111111,0.06670006370911383,0.26143373705861256,-0.7656823989531729,0.6656022511273963,0.5898157206151017,1.584962500716828,0.9999999999972693,0.66,0.94,61
openml_31_credit-g,1000,20,49.999999975,7,13,0.34999999982499996,0.649999999675,0,0.0,2,2.3333333332555557,0.699999999993,0.9189979813883815,0.9035938958246407,0.9136685975028616,1.7765516638482737,0.10248583374773611,0.8812908992278072,0.8812908992278072,0.699999400598203,0.7160004315692938,31
openml_37_diabetes,768,8,95.99999987999999,8,0,0.9999999987499999,0.0,0,0.0,2,1.86567164172143,0.6510416666581895,0.5282118837708745,1.238665108772285,2.749524196420432,2.732333722223152,0.17165678897092657,0.9331343166378978,0.9331343166378978,0.7174479166666666,0.7421875,37
openml_1464_blood-transfusion-service-center,748,4,186.9999995325,4,0,0.9999999975,0.0,0,0.0,2,3.202247190831334,0.7620320855513097,2.2585703379392172,1.026961731837591,10.148276743801551,6.555214709542027,0.46599826183085336,0.7916446298423474,0.7916446298423474,0.7620348058902277,0.746045515394913,1464
openml_1480_ilpd,583,10,58.299999941699994,9,1,0.8999999991,0.0999999999,0,0.0,2,2.4910179639226935,0.7135506003308139,3.28233963317428,3.4279359207107274,29.774769582243593,45.6125653949663,0.20759351465003112,0.8640904272458769,0.8640904272458769,0.7135518547889682,0.5727641201868006,1480
openml_1489_phoneme,5404,5,1080.7999978384,5,0,0.9999999980000001,0.0,0,0.0,2,2.4073139974627535,0.7065136935590183,0.7792488840631137,0.4927578388611471,0.3383246372349385,1.0952004194703564,0.12608885703431136,0.8731822577212551,0.8731822577212551,0.755182152062107,0.7614720764946838,1489
openml_1510_wdbc,569,30,18.966666660344444,30,0,0.9999999996666666,0.0,0,0.0,2,1.683962264071511,0.6274165201998696,1.7358151979541776,1.2539196996432502,7.735706478700378,12.547731558905735,0.39489663070391806,0.9526351223989746,0.9526351223989746,0.8840248770073332,0.9367492806089297,1510
openml_1462_banknote-authentication,1372,4,342.99999914250003,4,0,0.9999999975,0.0,0,0.0,2,1.2491803278483742,0.5553935860017829,-0.11916095861065507,0.7657571527392616,0.13989755944390092,0.7929946735345802,0.42562485877722694,0.9911281257438607,0.9911281257438607,0.8527785475173509,0.8389248277641347,1462
openml_1049_pc4,1458,37,39.40540539475529,37,0,0.9999999997297297,0.0,0,0.0,2,7.191011235551066,0.8779149519830047,6.443644242739791,5.102143840486935,104.72300031140513,148.7757226859507,0.3509771129070362,0.5353247216300582,0.5353247216300582,0.877914951989026,0.8717421124828532,1049
openml_40981_Australian,690,14,49.2857142505102,6,8,0.4285714282653061,0.5714285710204081,0,0.0,2,1.2475570032166918,0.5550724637600714,0.9077734922358798,0.592899203156595,0.18027050064690578,1.82596843499451,0.19221186244328242,0.991230898900467,0.991230898900467,0.8550724637681159,0.8463768115942029,40981
openml_3_kr-vs-kp,3196,36,88.77777775311728,0,36,0.0,0.9999999997222222,0,0.0,2,1.0929927963255208,0.522215269084724,0.0,0.0,0.0,0.0,0.0,0.9985755386525728,0.9985755386525728,0.5262981264698888,0.6373886848294269,3
openml_11_balance-scale,625,4,156.249999609375,4,0,0.9999999975,0.0,0,0.0,3,5.877551019208663,0.4607999999926272,0.0,0.0,-1.3,0.0,4.693134769695459e-16,1.318116246437254,0.8316387585431911,0.4640074837443258,0.6641439700650227,11
